Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;3P;3PA;2P;2PA;eFG%;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Salary_23-24
130;Kai Jones;C;21;CHO;21;0;3.0;0.4;0.7;0.0;0.1;0.4;0.6;.679;0.1;0.4;0.1;0.4;0.5;0.2;0.0;0.1;0.3;0.4;1.0;3047880
131;Tyus Jones;PG;25;MEM;73;23;21.2;3.4;7.6;1.1;2.8;2.3;4.8;.524;0.7;0.9;0.2;2.2;2.4;4.4;0.9;0.0;0.6;0.4;8.7;14000000
132;Luke Kennard;SG;25;LAC;70;13;27.4;4.1;9.1;2.7;6.0;1.4;3.1;.598;1.0;1.1;0.3;3.0;3.3;2.1;0.6;0.1;0.9;1.4;11.9;15418363
133;Corey Kispert;SF;22;WAS;77;36;23.4;3.0;6.7;1.5;4.2;1.6;2.5;.564;0.7;0.8;0.7;2.0;2.7;1.1;0.5;0.3;0.6;1.2;8.2;3722040
134;Maxi Kleber;PF;30;DAL;59;21;24.6;2.4;6.0;1.4;4.3;1.0;1.7;.516;0.8;1.1;1.2;4.7;5.9;1.2;0.5;1.0;0.8;2.3;7.0;11000000
135;Kevin Knox;SF;22;TOT;30;0;7.4;1.0;2.8;0.5;1.8;0.5;1.0;.453;0.5;0.7;0.5;1.0;1.5;0.3;0.1;0.1;0.2;0.6;3.1;3000000
136;John Konchar;SG;25;MEM;72;7;17.9;1.9;3.6;0.7;1.8;1.2;1.9;.615;0.4;0.7;1.2;3.4;4.6;1.5;0.6;0.3;0.4;1.3;4.8;2400000
137;Furkan Korkmaz;SG;24;PHI;67;19;21.1;2.7;7.0;1.1;4.0;1.6;3.0;.469;1.0;1.3;0.3;2.3;2.6;1.9;0.5;0.1;0.7;0.9;7.6;5370370
138;Luke Kornet;C;26;TOT;15;0;6.9;0.9;1.8;0.0;0.3;0.9;1.5;.481;0.3;0.4;0.9;1.1;1.9;0.6;0.2;0.2;0.0;0.6;2.0;2413304
139;Vit Krejci;SG;21;OKC;30;8;23.0;2.3;5.6;1.1;3.3;1.2;2.3;.503;0.6;0.7;0.6;2.8;3.4;1.9;0.6;0.3;1.0;2.2;6.2;1836096
140;Jonathan Kuminga;SF;19;GSW;70;12;16.9;3.4;6.6;0.7;2.1;2.7;4.4;.567;1.9;2.7;0.8;2.6;3.3;0.9;0.4;0.3;1.1;2.1;9.3;6012840
141;Zach LaVine;SG;26;CHI;67;67;34.7;8.4;17.7;2.8;7.1;5.7;10.6;.554;4.8;5.6;0.3;4.3;4.6;4.5;0.6;0.3;2.6;1.8;24.4;40064220
142;Kira Lewis Jr.;PG;20;NOP;24;0;14.2;2.5;6.1;0.5;2.4;1.9;3.7;.449;0.4;0.5;0.4;1.3;1.6;2.0;0.5;0.0;1.1;0.7;5.9;5722116
143;Damian Lillard;PG;31;POR;29;29;36.4;7.7;19.0;3.2;9.8;4.5;9.2;.486;5.5;6.2;0.4;3.7;4.1;7.3;0.6;0.4;2.9;1.3;24.0;45640084
144;Nassir Little;SF;21;POR;42;23;25.9;3.5;7.5;1.2;3.7;2.2;3.8;.541;1.6;2.2;1.4;4.2;5.6;1.3;0.6;0.9;1.0;2.0;9.8;6250000
145;Isaiah Livers;SF;23;DET;19;5;20.2;2.2;4.7;1.4;3.4;0.7;1.4;.606;0.6;0.7;0.8;2.2;3.0;1.1;0.7;0.4;0.8;1.9;6.4;1836096
146;Kevon Looney;C;25;GSW;82;80;21.1;2.5;4.4;0.0;0.0;2.5;4.4;.571;0.9;1.5;2.5;4.7;7.3;2.0;0.6;0.6;0.8;2.6;6.0;8500000
147;Didi Louzada;SG-SF;22;TOT;9;1;14.3;1.3;3.7;1.0;2.6;0.3;1.1;.500;0.2;0.2;0.6;1.3;1.9;0.6;0.2;0.2;0.6;1.4;3.9;268032
148;Kyle Lowry;PG;35;MIA;63;63;33.9;4.4;10.0;2.3;6.1;2.1;3.9;.555;2.3;2.8;0.5;4.0;4.5;7.5;1.1;0.3;2.7;2.8;13.4;29682540
149;Terance Mann;SF;25;LAC;81;33;28.6;4.1;8.5;0.9;2.6;3.2;6.0;.539;1.6;2.0;1.3;4.0;5.2;2.6;0.7;0.3;1.0;2.2;10.8;10576923
150;Tre Mann;PG;20;OKC;60;26;22.8;3.9;9.8;1.6;4.5;2.2;5.3;.476;1.1;1.4;0.4;2.4;2.9;1.5;0.8;0.2;1.2;1.7;10.4;3191400
151;Lauri Markkanen;SF;24;CLE;61;61;30.8;5.1;11.5;2.2;6.2;2.9;5.3;.542;2.3;2.6;1.0;4.7;5.7;1.3;0.7;0.5;0.9;2.1;14.8;17259999
